CODE,HEX,DESCRIPTION
CE-107044-6,0x809E0211,SCE_ABSTRACTSTORAGE_ERROR_SEGMENT_UPLOAD_STATUS
CE-107026-6,0x809E0007,SCE_ABSTRACTSTORAGE_ERROR_SERVICE
CE-107043-5,0x809E0210,SCE_ABSTRACTSTORAGE_ERROR_SET_TAG
CE-107034-5,0x809E0207,SCE_ABSTRACTSTORAGE_ERROR_SUBCONTENT_MAX
CE-107035-6,0x809E0208,SCE_ABSTRACTSTORAGE_ERROR_SUBCONTENT_NOT_CLOSED
CE-107023-3,0x809E0004,SCE_ABSTRACTSTORAGE_ERROR_UNREGIST
CE-117705-1,0x818E0102,SCE_ACCOUNT_CC_ERROR_CREATE_ERROR_DIRECT
CE-117708-4,0x818E0105,SCE_ACCOUNT_CC_ERROR_SESSION_ERROR
CE-113523-5,0x818E0100,SCE_ACCOUNT_CC_ERROR_TIMEOUT_AUTH
CE-113524-6,0x818E0101,SCE_ACCOUNT_CC_ERROR_TIMEOUT_OTHERS
CE-117707-3,0x818E0104,SCE_ACCOUNT_CC_ERROR_TOKENIZER_ERROR
CE-117706-2,0x818E0103,SCE_ACCOUNT_CC_ERROR_VALIDATOR_ERROR
CE-113518-9,0x818E0007,SCE_ACCOUNT_MF_ERROR_ACCOUNT_ID_NOT_MATCHED
CE-117695-9,0x818E0012,SCE_ACCOUNT_MF_ERROR_BAD_ARGUMENT_ERROR
CE-117702-8,0x818E0019,SCE_ACCOUNT_MF_ERROR_BAD_GATEWAY_ERROR
CE-118450-9,0x818E001C,SCE_ACCOUNT_MF_ERROR_CHINA_REGION_LOCK_INVALID_SIGNIN
CE-113521-3,0x818E000A,SCE_ACCOUNT_MF_ERROR_COMMUNICATION_SUSPENSION
CE-117697-1,0x818E0014,SCE_ACCOUNT_MF_ERROR_CONFIGURATION_ERROR
CE-117699-3,0x818E0016,SCE_ACCOUNT_MF_ERROR_CONFLICT_ERROR
CE-117698-2,0x818E0015,SCE_ACCOUNT_MF_ERROR_CONTENT_NOT_FOUND
